genus,species,common name,group name,,search for pcrit
Siliqua,patula,Razor clam,,,
Cancer,magister,Dungeness crab,,,
Euphasid,pacifica,Euphasid,,,
Strongylocentrotus,franciscanus,Red urchin,,,
Pisaster,ochraceus,Common star,,,
Oncorhynchus,gorbuscha,Pink salmon,,,no
Sebastes,mystinus,Blue rockfish,benthic_rockfish,,no
Sebastes,melanops,Black rockfish,benthic_rockfish,,no
Sebastes,maliger,Quilback rockfish,mid-water rockfish,,no
Sebastes,caurinus,Copper rockfish,mid-water rockfish,,no
Anoplopoma,fimbria,Sablefish,,,no
Theragra,chalcogramma,Walleye pollock,,,no
Macrocystis,pyrifera,Giant kelp,canopy-forming kelp,,
Nereocystis,luetkeana,Bull kelp,canopy-forming kelp,,
Zostera,marina,Sea grass,,,
