English_Name,Genus,Species,treatment,Author,Pub_Year,Journal,Class,Order,Collection_Location,Study_Type,Distribution,Calcification,Life_stage,Life_stage_category,Class,Order,Extracted_from,Comments,Response_variable,response_type,Effect of treatment,Study_Duration,Study_Duration_Units,citation details,response,SE_response,LCI_response,UCI_response,unit_response,sample_size,pH,uatm,DIC _umol_kg-1,ppm CO2,salinity,temperature,oxygen,oxygen_units,treatment_var,treatment_name_or_other_details,comments,extraction method,study_design
Crab_ Dungeness,Cancer,magister,pH,Christmas,2013,Western Washington University,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,swimming_speed,movement,positive,5,Days,Fig. 5_ 5 days,0.38,0.1,,,mm/sec,30,7.8,506,,,31.51,15.93,,,pH,control,,,anova
Crab_ Dungeness,Cancer,magister,pH,Christmas,2013,Western Washington University,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,swimming_speed,movement,positive,5,Days,Fig. 5_ 5 days,0.66,0.14,,,mm/sec,29,7.53,1031,,,31.51,15.93,,,pH,high,,,anova
Crab_ Dungeness,Cancer,magister,pH,Christmas,2013,Western Washington University,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,turning_frequency,movement,positive,5,Days,Fig. 9_ 5 days,0.46,0.08,,,turns/sec,30,7.8,506,,,31.51,15.93,,,pH,control,,,anova
Crab_ Dungeness,Cancer,magister,pH,Christmas,2013,Western Washington University,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,turning_frequency,movement,positive,5,Days,Fig. 9_ 5 days,0.78,0.11,,,turns/sec,29,7.53,1031,,,31.51,15.93,,,pH,high,,,anova
Crab_ Dungeness,Cancer,magister,pH,Christmas,2013,Western Washington University,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,feeding_rate,consumption,negative,5,Days,Fig. 13_ 5 days,3.1,0.25,,,food unit per day,50,7.8,506,,,31.51,15.93,,,pH,control,,,anova
Crab_ Dungeness,Cancer,magister,pH,Christmas,2013,Western Washington University,Malacostraca,Decapoda,Ship Harbor_ Anacortes_ Washington_ Puget Sound_ E. Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,feeding_rate,consumption,negative,5,Days,Fig. 13_ 5 days,2.5,0.25,,,food unit per day,50,7.53,1031,,,31.51,15.93,,,pH,high,,,anova
Crab_ Dungeness,Cancer,magister,pH,Descoteaux,2014,thesis,Malacostraca,Decapoda,Kachemak Bay_ Alaska_ NE Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,Brood from 1 female,survival,survival,negative,10,Days,Fig. 5_ day 10,44,,,,out of 100,1,8.05,,,,,10.15,,,pH,control,Larvae from only one female. Value of response not given,,anova
Crab_ Dungeness,Cancer,magister,pH,Descoteaux,2014,thesis,Malacostraca,Decapoda,Kachemak Bay_ Alaska_ NE Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,Brood from 1 female,survival,survival,negative,10,Days,Fig. 5_ day 10,25,,,,out of 100,1,7.5,,,,,10.5,,,pH,high,Larvae from only one female. Value of response not given,,anova
Crab_ Dungeness,Cancer,magister,pH,Descoteaux,2014,thesis,Malacostraca,Decapoda,Kachemak Bay_ Alaska_ NE Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,Brood from 1 female,size,growth,no diff,6,Days,Fig. 8_ day 6,0.0037,0.0013,,,mg,3,8.05,,,,,10.15,,,pH,control,Larvae from only one female. Used the highest pH contrast,,anova
Crab_ Dungeness,Cancer,magister,pH,Descoteaux,2014,thesis,Malacostraca,Decapoda,Kachemak Bay_ Alaska_ NE Pacific,Several single species lab studies,Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,Brood from 1 female,size,growth,no diff,6,Days,Fig. 8_ day 6,0.002,0.0015,,,mg,3,7.5,,,,,10.5,,,pH,high,Larvae from only one female. Used the highest pH contrast,,anova
Crab_ Dungeness,Cancer,magister,pH,Hans et al,2014,Marine Biology,Malacostraca,Decapoda,Local supermarket (Superstore_ Winnipeg_ Manitoba),Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Adult,adult or juvenile,Malacostraca,Decapoda,Busch and McHany_2016,Artificial seawater 9-15 days of incubation,oxygen consumption,metabolic rate,negative,15,Days,Fig. 4,0.265,0.06,,,umol g-1 h-1,5,8.1,,,,32,14,,,pH,control,,,anova
Crab_ Dungeness,Cancer,magister,pH,Hans et al,2014,Marine Biology,Malacostraca,Decapoda,Local supermarket (Superstore_ Winnipeg_ Manitoba),Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Adult,adult or juvenile,Malacostraca,Decapoda,Busch and McHany_2016,Artificial seawater 9-15 days of incubation,oxygen consumption,metabolic rate,negative,15,Days,Fig. 4,0.01,0.007,,,umol g-1 h-1,5,7.4,,,,32,14,,,pH,high,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching probability,survival,no diff,34,Days,p6,0.77,,0.62,0.97,proportion of 593,,8,466,2058,,30.5,,,,pH,control,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching probability,survival,no diff,34,Days,p6,0.59,,0.26,0.8,proportion of 593,,7.5,1781,2208,,30.5,,,,pH,medium,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching probability,survival,no diff,34,Days,p6,0.72,,0.48,0.9,proportion of 593,,7.1,3920,2306,,30.5,,,,pH,high,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching timing,growth,negative,34,Days,Fig.3,1,,1,1,acceleration_factor_compared_to_control,,8,466,2058,,30.5,,,,pH,control,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching timing,growth,negative,34,Days,Fig.3,0.93,,0.91,0.94,acceleration_factor_compared_to_control,,7.5,1781,2208,,30.5,,,,pH,medium,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,hatching timing,growth,negative,34,Days,Fig.3,1.24,,1.22,1.26,acceleration_factor_compared_to_control,,7.1,3920,2306,,30.5,,,,pH,high,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval survival,survival,negative,45,Days,p7,1,,1,1,acceleration_factor_compared_to_control,38,8,466,2058,,30.5,,,,pH,control,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval survival,survival,negative,45,Days,p7,0.544,,0.349,0.879,acceleration_factor_compared_to_control,37,7.5,1781,2208,,30.5,,,,pH,medium,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval survival,survival,negative,45,Days,p7,0.628,,0.394,0.999,acceleration_factor_compared_to_control,38,7.1,3920,2306,,30.5,,,,pH,high,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval timing,growth,negative,45,Days,p7,0.68,,,,percent reached zoea stage 4 within 45 days,38,8,466,2058,,30.5,,,,pH,control,,,anova
