"","English_Name","Genus","Species","treatment","Author","Pub_Year","Journal","Class","Order","Collection_Location","Study_Type","Distribution","Calcification","Life_stage","Life_stage_category","Class.1","Order.1","Extracted_from","Comments","Response_variable","rate_or_biomass","response_type","response_type_2","Effect.of.treatment","Study_Duration","Study_Duration_Units","citation.details","response","SE_response","LCI_response","UCI_response","unit_response","sample_size","pH","uatm","omega.ar","DIC._umol_kg.1","ppm.CO2","CO2","salinity","temperature","oxygen_in_orig_units","orig_oxygen_units","oxygen","unit_conversion_citation","treatment_var","treatment_name_or_other_details","comments","extraction.method","study_design","study","lowerSE","upperSE","rec_lowerSE","rec_upperSE","recentered_response","max_response","log_rel_response","log_rel_upperSE","log_rel_lowerSE","log_SE_response_for_resampling","rel_response","rel_upperSE","rel_lowerSE","SE_response_for_resampling","treat_value"
"1","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","development rate to hatch","biomass","growth","ability_productivity_growth_survival","unsure",NA,"","Table 2",0.003387534,NA,NA,NA,"hour-1",NA,NA,"",NA,NA,NA,NA,NA,6.59,NA,"",NA,"","temperature","","took inverse of time to hatch to make it a rate","","regression","Alderice et al 1988 sablefish egg development rate to hatch temperature",NA,NA,NA,NA,0.01,0.01,0,NA,NA,0,1,NA,NA,0,6.59
"2","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","development rate to hatch","biomass","growth","ability_productivity_growth_survival","unsure",NA,"","Table 2",0.003700962,NA,NA,NA,"hour-1",NA,NA,"",NA,NA,NA,NA,NA,5.98,NA,"",NA,"","temperature","","took inverse of time to hatch to make it a rate","","regression","Alderice et al 1988 sablefish egg development rate to hatch temperature",NA,NA,NA,NA,0.01,0.01,0,NA,NA,0,1,NA,NA,0,5.98
"3","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","development rate to hatch","biomass","growth","ability_productivity_growth_survival","unsure",NA,"","Table 2",0.003254149,NA,NA,NA,"hour-1",NA,NA,"",NA,NA,NA,NA,NA,5.91,NA,"",NA,"","temperature","","took inverse of time to hatch to make it a rate","","regression","Alderice et al 1988 sablefish egg development rate to hatch temperature",NA,NA,NA,NA,0.01,0.01,0,NA,NA,0,1,NA,NA,0,5.91
"4","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","development rate to hatch","biomass","growth","ability_productivity_growth_survival","unsure",NA,"","Table 2",0.003005711,NA,NA,NA,"hour-1",NA,NA,"",NA,NA,NA,NA,NA,4.97,NA,"",NA,"","temperature","","took inverse of time to hatch to make it a rate","","regression","Alderice et al 1988 sablefish egg development rate to hatch temperature",NA,NA,NA,NA,0.01,0.01,0,NA,NA,0,1,NA,NA,0,4.97
"5","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","development rate to hatch","biomass","growth","ability_productivity_growth_survival","unsure",NA,"","Table 2",0.002824061,NA,NA,NA,"hour-1",NA,NA,"",NA,NA,NA,NA,NA,4.85,NA,"",NA,"","temperature","","took inverse of time to hatch to make it a rate","","regression","Alderice et al 1988 sablefish egg development rate to hatch temperature",NA,NA,NA,NA,0.01,0.01,0,NA,NA,0,1,NA,NA,0,4.85
"6","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","development rate to hatch","biomass","growth","ability_productivity_growth_survival","unsure",NA,"","Table 2",0.002692515,NA,NA,NA,"hour-1",NA,NA,"",NA,NA,NA,NA,NA,4,NA,"",NA,"","temperature","","took inverse of time to hatch to make it a rate","","regression","Alderice et al 1988 sablefish egg development rate to hatch temperature",NA,NA,NA,NA,0.01,0.01,0,NA,NA,0,1,NA,NA,0,4
"7","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","development rate to hatch","biomass","growth","ability_productivity_growth_survival","unsure",NA,"","Table 2",0.002277386,NA,NA,NA,"hour-1",NA,NA,"",NA,NA,NA,NA,NA,3.95,NA,"",NA,"","temperature","","took inverse of time to hatch to make it a rate","","regression","Alderice et al 1988 sablefish egg development rate to hatch temperature",NA,NA,NA,NA,0.01,0.01,0,NA,NA,0,1,NA,NA,0,3.95
"8","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","development rate to hatch","biomass","growth","ability_productivity_growth_survival","unsure",NA,"","Table 2",0.001834189,NA,NA,NA,"hour-1",NA,NA,"",NA,NA,NA,NA,NA,2.64,NA,"",NA,"","temperature","","took inverse of time to hatch to make it a rate","","regression","Alderice et al 1988 sablefish egg development rate to hatch temperature",NA,NA,NA,NA,0.01,0.01,0,NA,NA,0,1,NA,NA,0,2.64
"9","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","development rate to hatch","biomass","growth","ability_productivity_growth_survival","unsure",NA,"","Table 2",0.001528818,NA,NA,NA,"hour-1",NA,NA,"",NA,NA,NA,NA,NA,2.04,NA,"",NA,"","temperature","","took inverse of time to hatch to make it a rate","","regression","Alderice et al 1988 sablefish egg development rate to hatch temperature",NA,NA,NA,NA,0.01,0.01,0,NA,NA,0,1,NA,NA,0,2.04
"10","sablefish","Anoplopoma","fimbria","temperature","Alderice et al",1988,"","","","Vancouver Island","Single species lab study (one species in paper)","","no external CaCO3","egg","propagule","","","google scholar","","survival to hatch","biomass","survival","ability_productivity_growth_survival","positive",NA,"","Fig.4",0,NA,NA,NA,"percent",NA,NA,"",NA,NA,NA,NA,0,6,NA,"",NA,"","salinity","","","","regression","Alderice et al 1988 sablefish egg survival to hatch salinity",NA,NA,NA,NA,0.01,6.9,-6.5366915975913,NA,NA,0,0.00144927536231884,NA,NA,0,0
