variable,model,zone,delta
temperature,global,200m,2.14
temperature,CCS_globlal,200m,1.81
temperature,CCS_12,200m,1.92
temperature,cascadia_12,200m,1.94
temperature,cascadia_1,200m,2.32
temperature,global,surface,2.49
temperature,CCS_globlal,surface,3.15
temperature,CCS_12,surface,3.28
temperature,cascadia_12,surface,3.29
temperature,cascadia_1,surface,2.89
temperature,global,bottom,1.98
temperature,CCS_globlal,bottom,1.64
temperature,CCS_12,bottom,1.73
temperature,cascadia_12,bottom,1.58
temperature,cascadia_1,bottom,2.05
oxygen,global,200m,-0.19
oxygen,CCS_globlal,200m,-0.32
oxygen,CCS_12,200m,-0.45
oxygen,cascadia_12,200m,-0.69
oxygen,cascadia_1,200m,-0.58
oxygen,global,surface,-0.23
oxygen,CCS_globlal,surface,-0.31
oxygen,CCS_12,surface,-0.32
oxygen,cascadia_12,surface,-0.41
oxygen,cascadia_1,surface,-0.41
oxygen,global,bottom,-0.22
oxygen,CCS_globlal,bottom,-0.35
oxygen,CCS_12,bottom,-0.44
oxygen,cascadia_12,bottom,-0.25
oxygen,cascadia_1,bottom,-0.6
CO2,global,200m,394
CO2,CCS_globlal,200m,438
CO2,CCS_12,200m,689
CO2,cascadia_12,200m,909
CO2,cascadia_1,200m,726
CO2,global,surface,379
CO2,CCS_globlal,surface,389
CO2,CCS_12,surface,453
CO2,cascadia_12,surface,430
CO2,cascadia_1,surface,376
CO2,global,bottom,432
CO2,CCS_globlal,bottom,453
CO2,CCS_12,bottom,767
CO2,cascadia_12,bottom,956
CO2,cascadia_1,bottom,844
pH,global,200m,
pH,CCS_globlal,200m,
pH,CCS_12,200m,-0.33
pH,cascadia_12,200m,-0.31
pH,cascadia_1,200m,-0.32
pH,global,surface,
pH,CCS_globlal,surface,
pH,CCS_12,surface,-0.3
pH,cascadia_12,surface,-0.3
pH,cascadia_1,surface,-0.29
pH,global,bottom,
pH,CCS_globlal,bottom,
pH,CCS_12,bottom,-0.25
pH,cascadia_12,bottom,-0.27
pH,cascadia_1,bottom,-0.28
