Author,Pub_Year,English_Name,Life_stage,Life_stage_category,Response_variable,response_type,unique_study,common_name,species_order,treatment_var,rate_or_biomass,response_type_2,term,estimate,std.error,statistic,p.value,mean_estimate,se_estimate,replicate,change_in_2100,percentchange,SEpercentchange
Clark,2011,Pink Salmon,Adult,adult or juvenile,aerobic scope,metabolic rate,19,pink salmon,10,temperature,rate,ability_productivity_growth_survival,treat_value,0.0013322244283994445,0.005381202394934388,0.24757002815087167,0.8062115812873514,0.0013322244283994445,0.005381202394934388,NA,2.1520838590396547,0.28670586889767746,1.158079881636383
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,feeding_rate,consumption,34,ochre star,3,temperature,rate,consumption,treat_value,0.033272611023592545,0.008491545499946867,3.9183221739553464,0.0015450394133234588,0.033272611023592545,0.008491545499946867,NA,2.1520838590396547,7.16054491319784,1.8274518008736467
Gooding et al,2009,Ochre star,Juvenile,adult or juvenile,relative growth,growth,36,ochre star,3,temperature,biomass,ability_productivity_growth_survival,treat_value,0.027234602448366275,0.00418606476873618,6.506015542752508,1.3879821717147968e-5,0.027234602448366275,0.00418606476873618,NA,2.1520838590396547,5.861114833649092,0.9008762421691698
Kaldy,2014,seagrass,Adult,adult or juvenile,relative growth rate,growth,55,seagrass,1,temperature,biomass,ability_productivity_growth_survival,treat_value,0.041166521630919335,0.007956652054721727,5.1738496729274255,8.491233833374429e-4,0.041166521630919335,0.007956652054721727,NA,2.1520838590396547,8.859380673470831,1.7123382458961334
MacNutt et al,2006,Pink Salmon,Adult,adult or juvenile,aerobic scope,metabolic rate,68,pink salmon,10,temperature,rate,ability_productivity_growth_survival,treat_value,-0.007670816439028101,0.009650209773404686,-0.7948859785585536,0.43336634092173665,-0.007670816439028101,0.009650209773404686,NA,2.1520838590396547,-1.6508240244088417,2.076806068969095
Miller et al,2017,seagrass,Adult,adult or juvenile,photosynthesis rate,metabolic rate,80,seagrass,1,CO2,rate,ability_productivity_growth_survival,treat_value,3.576184175573787e-4,1.623195825561155e-4,2.203174822937623,0.035977520306995574,3.576184175573787e-4,1.623195825561155e-4,NA,758.8649908409783,27.138409716424533,12.317864852975802
Mortensen and Savviko,1993,Pink Salmon,Juvenile,adult or juvenile,growth_rate,growth,81,pink salmon,10,temperature,biomass,ability_productivity_growth_survival,treat_value,0.03614287243967123,0.0034878394521787055,10.362539026013456,1.4407486343888937e-4,0.03614287243967123,0.0034878394521787055,NA,2.1520838590396547,7.778249239674564,0.7506122987955504
Reed,1969,Dungeness crab,larvae,propagule,survival,survival,86,Dungeness crab,4,salinity,biomass,ability_productivity_growth_survival,treat_value,-0.015464994775339629,NA,NA,NA,-0.015464994775339629,NA,NA,-3,4.639498432601888,NA
Reed,1969,Dungeness crab,larvae,propagule,survival,survival,87,Dungeness crab,4,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.036592785745328135,0.026989749826674368,-1.355803072659938,0.2681937484979772,-0.036592785745328135,0.026989749826674368,NA,2.1520838590396547,-7.875074355981704,5.808420496150422
Sayce and Tufts,1971,Razor Clam,Adult,adult or juvenile,survival,survival,91,razor clam,6,temperature,biomass,ability_productivity_growth_survival,treat_value,-0.12028666115951529,0.019279368163989567,-6.239139173875491,2.4862011947718814e-4,-0.12028666115951529,0.019279368163989567,NA,2.1520838590396547,-25.8866981939165,4.149081703820493
